"BCH_LAB_CODE","LOINC_LAB_CODE"
"LAB:3775533","18719-5"
"LAB:3775367","18719-5"
"LAB:3775497","2888-6"
"LAB:276153049","26435-8"
"LAB:3775968","2692-2"
"LAB:3775331","13485-8"
"LAB:3776085","2498-4"
"LAB:3775538","18719-5"
"LAB:248037654","10360-6"
"LAB:3775304","18716-1"
"LAB:3776073","18719-5"
"LAB:3775624","18719-5"
"LAB:3774694","5113-6"
"LAB:3775917","18719-5"
"LAB:3774905","18719-5"
"LAB:501519975","57884-9"
"LAB:3774663","18728-6"
"LAB:3774943","18725-2"
"LAB:4744053","18719-5"
"LAB:4744042","18719-5"
"LAB:3776151","20659-9"
"LAB:3776036","18767-4"
"LAB:580107789","18719-5"
"LAB:3774942","29901-6"
"LAB:114816765","18718-7"
"LAB:3775247","25129-8"
"LAB:3775872","777-3"
"LAB:3775668","735-1"
"LAB:3775038","30003-8"
"LAB:3774989","33219-7"
"LAB:3776143","20640-9"
"LAB:3775516","18719-5"
"LAB:513021865","56888-1"
"LAB:4744005","18719-5"
"LAB:3774603","31208-2"
"LAB:7249732","57802-1"
"LAB:3774905","1814-3"
"LAB:3775027","17016-7"
"LAB:110718281","18723-7"
"LAB:3775634","14775-1"
"LAB:3776117","1908-3"
"LAB:3775191","18720-3"
"LAB:166059583","18719-5"
"LAB:3775195","18720-3"
"LAB:470531013","35174-2"
"LAB:3774996","33230-4"
"LAB:3775682","10329-1"
"LAB:3774721","802-9"
"LAB:500706675","809-4"
"LAB:3775906","7962-4"
"LAB:3775567","18719-5"
"LAB:3775708","12234-1"
"LAB:500706695","791-4"
"LAB:3998845","18719-5"
"LAB:3775652","18768-2"
"LAB:3775972","18719-5"
"LAB:3775329","1952-1"
"LAB:52891214","18720-3"
"LAB:4671017","11040-3"
"LAB:3774690","5105-2"
"LAB:248037681","18727-8"
"LAB:3774908","17840-0"
"LAB:3775758","18716-1"
"LAB:3775563","27373-0"
"LAB:3775485","33262-7"
"LAB:4743986","18719-5"
"LAB:3775774","18716-1"
"LAB:3775420","1825-9"
"LAB:12717537","18716-1"
"LAB:7463472","18719-5"
"LAB:7423728","26435-8"
"LAB:3775225","6884-1"
"LAB:3775335","22295-0"
"LAB:3774549","47938-6"
"LAB:3775206","18323-6"
"LAB:3775507","19153-6"
"LAB:3775508","13362-9"
"LAB:52891207","66745-1"
"LAB:13815119","49410-4"
"LAB:511259669","18719-5"
"LAB:511259693","47320-7"
"LAB:3818041","18723-7"
"LAB:72465858","26435-8"
"LAB:3775207","18727-8"
"LAB:3775909","18719-5"
"LAB:12779988","18727-8"
"LAB:3775057","18719-5"
"LAB:3775925","38505-4"
"LAB:3775264","2750-8"
"LAB:3776074","13362-9"
"LAB:248037684","18725-2"
"LAB:3776025","2823-3"
"LAB:3775246","26437-4"
"LAB:3725801","18719-5"
"LAB:4744014","22644-9"
"LAB:3775170","18767-4"
"LAB:3774580","18719-5"
"LAB:3775280","2345-7"
"LAB:8319791","26435-8"
"LAB:3775249","6774-4"
"LAB:3775407","18719-5"
"LAB:3774577","18721-1"
"LAB:48874888","18767-4"
"LAB:413924596","16249-5"
"LAB:3775265","2755-7"
"LAB:501520249","18728-6"
"LAB:3775176","13591-3"
"LAB:52891205","52768-9"
"LAB:7463471","18727-8"
"LAB:3776096","11555-0"
"LAB:3774993","33341-9"
"LAB:205207399","26435-8"
"LAB:3775551","2711-0"
"LAB:3774859","18724-5"
"LAB:19984986","18719-5"
"LAB:89829697","18729-4"
"LAB:3775495","8099-4"
"LAB:3774505","18720-3"
"LAB:580107879","18727-8"
"LAB:3775142","2955-3"
"LAB:3775493","18768-2"
"LAB:501520095","16233-9"
"LAB:3775513","19153-6"
"LAB:9795042","18718-7"
"LAB:89829725","53290-3"
"LAB:501520201","18716-1"
"LAB:8319790","26435-8"
"LAB:3775165","18721-1"
"LAB:3775163","4092-3"
"LAB:3998836","38380-2"
"LAB:13815116","49381-7"
"LAB:226643304","9708-9"
"LAB:3775299","18716-1"
"LAB:3774962","30471-7"
"LAB:3774984","703-9"
"LAB:3775455","18716-1"
"LAB:3775317","62236-5"
"LAB:248037694","2597-3"
"LAB:580107855","18719-5"
"LAB:3775594","19087-6"
"LAB:3774906","32540-7"
"LAB:501519737","7514-3"
"LAB:3775537","18719-5"
"LAB:4743959","1914-1"
"LAB:3775852","18719-5"
"LAB:13298855","26435-8"
"LAB:3774576","3924-8"
"LAB:52891209","18720-3"
"LAB:3774535","18719-5"
"LAB:3775747","27390-4"
"LAB:3776040","2744-1"
"LAB:3774802","47938-6"
"LAB:501519767","51776-3"
"LAB:4744007","1894-5"
"LAB:3774987","18729-4"
"LAB:499137101","34444-0"
"LAB:3998844","33210-6"
"LAB:572944199","18716-1"
"LAB:48874892","18767-4"
"LAB:3776065","19153-6"
"LAB:194576920","7557-2"
"LAB:3775900","18727-8"
"LAB:3775595","18721-1"
"LAB:3775742","18727-8"
"LAB:34975685","30358-6"
"LAB:3775004","33235-3"
"LAB:3775603","2345-7"
"LAB:3775305","18716-1"
"LAB:3775048","808-6"
"LAB:3774858","55431-1"
"LAB:3775755","6683-7"
"LAB:620293641","18720-3"
"LAB:3774885","18718-7"
"LAB:3774903","18719-5"
"LAB:3775918","1798-8"
"LAB:264365772","26435-8"
"LAB:3775241","1746-7"
"LAB:3775457","18716-1"
"LAB:3775202","10334-1"
"LAB:3775422","2193-1"
"LAB:511259713","18719-5"
"LAB:3775325","27222-9"
"LAB:3776062","18719-5"
"LAB:501520285","7464-1"
"LAB:466943806","63459-2"
"LAB:3775527","19153-6"
"LAB:3774505","50390-4"
"LAB:107199062","18719-5"
"LAB:470531010","35166-8"
"LAB:3775791","18716-1"
"LAB:3774959","5117-7"
"LAB:13815107","49094-6"
"LAB:89829677","50227-8"
"LAB:3775470","6205-9"
"LAB:3775378","2742-5"
"LAB:3776020","40619-9"
"LAB:40450546","18719-5"
"LAB:3775773","18716-1"
"LAB:3775570","2078-4"
"LAB:4744021","22650-6"
"LAB:3775050","3028-8"
"LAB:3774480","2106-3"
"LAB:3774634","2483-6"
"LAB:3775492","33372-4"
"LAB:3774491","18729-4"
"LAB:4743982","27325-0"
"LAB:4744085","18719-5"
"LAB:500706683","18768-2"
"LAB:264365759","26435-8"
"LAB:501520249","49876-6"
"LAB:3774947","18719-5"
"LAB:3775853","32693-4"
"LAB:3290542","18719-5"
"LAB:3774575","3724-2"
"LAB:3776043","33254-4"
"LAB:3775351","18721-1"
"LAB:3775707","12230-9"
"LAB:537007343","2148-5"
"LAB:3775281","18719-5"
"LAB:645094547","18719-5"
"LAB:3775844","18767-4"
"LAB:3774895","18719-5"
"LAB:4744022","18719-5"
"LAB:3775703","17833-5"
"LAB:4744042","22651-4"
"LAB:4744061","18719-5"
"LAB:3775692","18768-2"
"LAB:4009169","1994-3"
"LAB:38893572","18720-3"
"LAB:3774806","15150-6"
"LAB:3775046","712-0"
"LAB:3775577","18767-4"
"LAB:3776037","18767-4"
"LAB:3774511","4512-0"
"LAB:3775142","18719-5"
"LAB:3775913","5274-6"
"LAB:3775084","1751-7"
"LAB:276152973","26435-8"
"LAB:501520273","6152-3"
"LAB:4744057","25917-6"
"LAB:3774691","5107-8"
"LAB:3775136","18719-5"
"LAB:3774838","6854-4"
"LAB:470530986","35175-9"
"LAB:3774563","18728-6"
"LAB:43435808","18719-5"
"LAB:359468250","16933-4"
"LAB:3775514","13362-9"
"LAB:3775574","18719-5"
"LAB:3775912","18727-8"
"LAB:3775927","48494-9"
"LAB:3776082","18615-5"
"LAB:19985055","29266-4"
"LAB:3775155","4057-6"
"LAB:63388643","18719-5"
"LAB:3710029","18719-5"
"LAB:167153356","18719-5"
"LAB:13815119","18725-2"
"LAB:3775127","14627-4"
"LAB:3775690","18768-2"
"LAB:3775959","9383-1"
"LAB:3776106","1913-3"
"LAB:13880963","49344-5"
"LAB:3725922","5000-5"
"LAB:580107915","18719-5"
"LAB:3775870","5959-2"
"LAB:3775862","14979-9"
"LAB:11519566","34500-9"
"LAB:3775847","18719-5"
"LAB:3775427","2193-1"
"LAB:19984978","41746-9"
"LAB:3775254","10546-0"
"LAB:248037675","49751-1"
"LAB:4743963","1909-1"
"LAB:3775561","18719-5"
"LAB:466943803","40964-9"
"LAB:3775776","18716-1"
"LAB:10865260","18719-5"
"LAB:61108585","13734-9"
"LAB:3775863","18720-3"
"LAB:501519809","16229-7"
"LAB:285955234","56009-4"
"LAB:3998833","29498-3"
"LAB:3776060","18719-5"
"LAB:3774718","9335-1"
"LAB:3775168","18719-5"
"LAB:3774766","18719-5"
"LAB:3775836","18767-4"
"LAB:13815111","25421-9"
"LAB:3775794","18716-1"
"LAB:3776082","18721-1"
"LAB:3775252","5743-0"
"LAB:6507751","5124-3"
"LAB:332553313","18719-5"
"LAB:3818043","18723-7"
"LAB:3775558","1796-2"
"LAB:205207395","26435-8"
"LAB:43435800","76039-7"
"LAB:285955211","56013-6"
"LAB:3775026","17015-9"
"LAB:108959127","18767-4"
"LAB:3776061","19153-6"
"LAB:3775968","18719-5"
"LAB:3775702","57391-5"
"LAB:3775047","18768-2"
"LAB:3775496","18719-5"
"LAB:3775390","5586-3"
"LAB:13130300","18725-2"
"LAB:3775219","4575-7"
"LAB:3725907","18721-1"
"LAB:3775230","18721-1"
"LAB:486294298","21055-9"
"LAB:3997403","47938-6"
"LAB:107199026","18719-5"
"LAB:3776064","18719-5"
"LAB:3775233","18719-5"
"LAB:3775074","19261-7"
"LAB:3998839","42337-6"
"LAB:123248795","18719-5"
"LAB:4114929","18721-1"
"LAB:3775391","5587-1"
"LAB:3775940","3491-8"
"LAB:53426630","26435-8"
"LAB:85969539","18719-5"
"LAB:3774809","18768-2"
"LAB:3802281","18727-8"
"LAB:4744237","26963-9"
"LAB:89829707","50232-8"
"LAB:110718274","49117-5"
"LAB:3727404","58682-6"
"LAB:3775949","1984-4"
"LAB:43291131","18768-2"
"LAB:3775122","18719-5"
"LAB:3775042","18719-5"
"LAB:3774940","13248-0"
"LAB:3775721","731-0"
"LAB:13130286","18721-1"
"LAB:40450549","26956-3"
"LAB:3774467","33930-9"
"LAB:3775584","18719-5"
"LAB:3775777","6848-6"
"LAB:4123537","18719-5"
"LAB:38893567","18723-7"
"LAB:3775197","35663-4"
"LAB:4743964","30348-7"
"LAB:3774943","29591-5"
"LAB:501520039","61425-5"
"LAB:3775781","18716-1"
"LAB:3997405","18719-5"
"LAB:3775049","797-1"
